,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
56,2022-10-12,227.18724251031531,207.51895621575926,262.6592706495198,227.18724251031531,227.18724251031531,7.789508054031953,7.789508054031953,7.789508054031953,7.789508054031953,7.789508054031953,7.789508054031953,0.0,0.0,0.0,234.97675056434727
57,2022-10-13,226.07898955812072,205.38479684839473,260.3313582959495,226.07898955812072,226.07898955812072,7.20019336975639,7.20019336975639,7.20019336975639,7.20019336975639,7.20019336975639,7.20019336975639,0.0,0.0,0.0,233.27918292787712
58,2022-10-14,224.9707366059261,205.28930068119794,261.84012777234665,224.9707366059261,224.9707366059261,7.586325339774749,7.586325339774749,7.586325339774749,7.586325339774749,7.586325339774749,7.586325339774749,0.0,0.0,0.0,232.55706194570087
59,2022-10-17,221.6459777493423,201.04748191029452,258.3213330254739,221.6459777493423,221.6459777493423,8.152214075163148,8.152214075163148,8.152214075163148,8.152214075163148,8.152214075163148,8.152214075163148,0.0,0.0,0.0,229.79819182450547
60,2022-10-18,220.53772479714772,200.22676568001367,255.66714712943147,220.53772479714772,220.53772479714772,6.544577627087835,6.544577627087835,6.544577627087835,6.544577627087835,6.544577627087835,6.544577627087835,0.0,0.0,0.0,227.08230242423556
61,2022-10-19,219.42947184495307,197.80423923151216,255.62445076766076,219.42947184495307,219.42947184495307,7.789508054031935,7.789508054031935,7.789508054031935,7.789508054031935,7.789508054031935,7.789508054031935,0.0,0.0,0.0,227.218979898985
62,2022-10-20,218.32121889275845,198.09418884186425,253.45758424817024,218.32121889275845,218.32121889275845,7.200193369751022,7.200193369751022,7.200193369751022,7.200193369751022,7.200193369751022,7.200193369751022,0.0,0.0,0.0,225.52141226250947
63,2022-10-21,217.21296594056386,197.4916480087488,253.09513003785972,217.21296594056386,217.21296594056386,7.586325339755339,7.586325339755339,7.586325339755339,7.586325339755339,7.586325339755339,7.586325339755339,0.0,0.0,0.0,224.7992912803192
64,2022-10-24,213.88820708398,193.88739145103492,250.59721411300958,213.88820708398,213.88820708398,8.15221407520255,8.15221407520255,8.15221407520255,8.15221407520255,8.15221407520255,8.15221407520255,0.0,0.0,0.0,222.04042115918256
65,2022-10-25,212.77995413680534,190.79991550195945,247.79919781905852,212.77995413680534,212.77995413680534,6.544577627090941,6.544577627090941,6.544577627090941,6.544577627090941,6.544577627090941,6.544577627090941,0.0,0.0,0.0,219.3245317638963
66,2022-10-26,211.67170118963074,192.06765507528908,247.38087079212954,211.67170118963074,211.67170118963074,7.789508054033429,7.789508054033429,7.789508054033429,7.789508054033429,7.789508054033429,7.789508054033429,0.0,0.0,0.0,219.46120924366417
67,2022-10-27,210.56344824245608,192.23603416828138,246.82879506344622,210.56344824245608,210.56344824245608,7.200193369731128,7.200193369731128,7.200193369731128,7.200193369731128,7.200193369731128,7.200193369731128,0.0,0.0,0.0,217.7636416121872
68,2022-10-28,209.45519529528144,187.52151677128734,247.6434123700459,209.45519529528144,209.45519529528144,7.586325339758831,7.586325339758831,7.586325339758831,7.586325339758831,7.586325339758831,7.586325339758831,0.0,0.0,0.0,217.04152063504029
69,2022-10-31,206.13043645375748,184.9217184726569,241.39670808255892,206.13043645375748,206.13043645375748,8.152214075199915,8.152214075199915,8.152214075199915,8.152214075199915,8.152214075199915,8.152214075199915,0.0,0.0,0.0,214.2826505289574
70,2022-11-01,205.02218350658282,183.01906944213343,238.14092105119647,205.02218350658282,205.02218350658282,6.544577627101338,6.544577627101338,6.544577627101338,6.544577627101338,6.544577627101338,6.544577627101338,0.0,0.0,0.0,211.56676113368417
71,2022-11-02,203.9139305594082,185.66571079832482,241.9124745283738,203.9139305594082,203.9139305594082,7.789508054034923,7.789508054034923,7.789508054034923,7.789508054034923,7.789508054034923,7.789508054034923,0.0,0.0,0.0,211.7034386134431
